keys;en;pt
OCEAN_INITIAL_UI_CONTENT;The seafloor in these areas has been shaped over millions of years by tectonic and erosive processes, creating rock formations that are refuges for marine life, with waters rich in nutrients due to ocean currents from the deep. It is an important route for various migratory or seasonally occurring species, such as the Iberian orcas, known to chase and hunt tuna in this area, and the Fin Whales, the second largest animal on Earth. Common dolphins, during the summer months, intensely use this area for feeding, breeding, and maternity before returning to more northern regions at the beginning of winter.;O fundo do mar nesta área foi moldado ao longo de milhões de anos por processos tectónicos e erosivos que criaram formações rochosas que são refúgios para a vida marinha com águas ricas em nutrientes devido às correntes oceânicas vindas das profundezas. Rota importante para várias espécies migratórias ou de ocorrência sazonal, como as Orcas Ibéricas, conhecidas por perseguir e caçar atuns nesta área e as Baleias-comuns, o segundo maior animal do planeta. Golfinhos-comum, durante os meses de verão utilizam essa área intensamente para alimentação, reprodução e maternidade antes de regressarem para regiões mais ao norte no início do inverno.
OCEAN_INITIAL_UI_SPECIES_LBL;Most observed cetaceans:;Cetáceos mais observados:
OCEAN_INITIAL_UI_SPECIES_CONTENT;Common dolphin, bottlenose dolphin, striped dolphin, harbour porpoise, orca, risso’s dolphin, Fin whale, Minke whale;golfinho-comum, roaz-corvineiro, golfinho-riscado, boto, orca, grampo, baleia-comum, baleia-anã
OCEAN_FINAL_UI_L_LOC_NAME;Iberian Orca (Orcinus orca);Orca Ibérica (Orcinus orca)
OCEAN_FINAL_UI_L_LOC_NAME_HD;Iberian Orca;Orca Ibérica
OCEAN_FINAL_UI_L_SIZE_LABEL;Size: ;Tamanho: 
OCEAN_FINAL_UI_L_SIZE_CONTENT;5 to 6.5m in length.;5 a 6,5m de comprimento.
OCEAN_FINAL_UI_L_SIZE_CONTENT_HD;5 to 6.5m;5 a 6.5m
OCEAN_FINAL_UI_L_WEIGHT_LABEL;Weight: ;Peso: 
OCEAN_FINAL_UI_L_WEIGHT_CONTENT;3 to 5 tons;3 a 5 toneladas
OCEAN_FINAL_UI_L_DIET_LABEL;Diet: ;Alimentação: 
OCEAN_FINAL_UI_L_DIET_CONTENT;Primarily feeds on Atlantic bluefin tuna (Thunnus thynnus).;Alimentam-se principalmente de atum-rabilho-do-atlântico (Thunnus thynnus).
OCEAN_FINAL_UI_L_DIET_CONTENT_HD;Atlantic bluefin tuna;Atum-rabilho-do-atlântico 
OCEAN_FINAL_UI_L_HABITAT_LABEL;Habitat: ;Área de ocorrência: 
OCEAN_FINAL_UI_L_HABITAT_CONTENT;The Iberian orca distribution spans from the Strait of Gibraltar, along the coasts of Portugal and Spain. This subpopulation moves in sync with the movements of its prey, the Atlantic bluefin tuna.;A distribuição da orca ibérica ocorre desde o estreito de Gibraltar, passando pela costa de Portugal e Espanha. Essa subpopulação desloca-se seguindo os movimentos da sua presa o atum rabilho do Atlântico.
OCEAN_FINAL_UI_L_FACT_LABEL;Fun Fact: ;Curiosidade: 
OCEAN_FINAL_UI_L_FACT_CONTENT;Orcas are the largest and most intelligent dolphins. They are not whales, as the nickname "killer whale" suggests.;As orcas são os maiores e mais inteligentes golfinhos que existem. Não são baleias como a alcunha “baleia assassina” sugere.
OCEAN_FINAL_UI_C_LOC_NAME;Common Dolphin (Delphinus delphis);Golfinho-comum (Delphinus delphis)
OCEAN_FINAL_UI_C_LOC_NAME_HD;Common Dolphin;Golfinho-comum
OCEAN_FINAL_UI_C_SIZE_LABEL;Size: ;Tamanho: 
OCEAN_FINAL_UI_C_SIZE_CONTENT;1.7 to 2.4m in length;1,7 a 2,4m de comprimento
OCEAN_FINAL_UI_C_SIZE_CONTENT_HD;1.7 to 2.4m;1.7 a 2.4m
OCEAN_FINAL_UI_C_WEIGHT_LABEL;Weight: ;Peso: 
OCEAN_FINAL_UI_C_WEIGHT_CONTENT;70 to 110 kg;70 a 110 kg
OCEAN_FINAL_UI_C_DIET_LABEL;Diet: ;Alimentação: 
OCEAN_FINAL_UI_C_DIET_CONTENT;In Portugal’s coastal waters, it feeds on sardines (Sardina pilchardus) and other small pelagic fish like mackerel.;na costa de Portugal se baseia em sardinha (Sardina pilchardus) e outros pequenos peixes pelágicos como cavala.
OCEAN_FINAL_UI_C_DIET_CONTENT_HD;Sardines and other small pelagic fish;Sardinha e outros pequenos peixes pelágicos
